Ticker,Description,Sector,Exchange
SENCO,SENCO GOLD LTD,Consumer Durables,NSE
DENEERS,DE NEERS TOOLS LIM,Distribution Services,NSE
WHEELS,WHEELS INDIA LTD,Producer Manufacturing,NSE
MAHSCOOTER,MAHARASHTRA SCOOT,Producer Manufacturing,NSE
URAVI,URAVI T AND WEDG LAMP LTD,Producer Manufacturing,NSE
STARCEMENT,STAR CEMENT LTD,Producer Manufacturing,NSE
FSC,FUTURE SUPPLY CHAI,Transportation,NSE
AIAENG,AIA ENGINEERING,Producer Manufacturing,NSE
GOODLUCK,GOODLUCK INDIA LTD,Non-Energy Minerals,NSE
INDSWFTLTD,IND SWIFT LTD,Health Technology,NSE
HINDZINC,HINDUSTAN ZINC,Non-Energy Minerals,NSE
ACE,ACTION CONSTRUCT,Producer Manufacturing,NSE
ONEPOINT,ONE POINT ONE SOLU,Commercial Services,NSE
GINNIFILA,GINNI FILAMENTS,Process Industries,NSE
METALFORGE,METALYST FORGINGS,Producer Manufacturing,NSE
DALMIASUG,DALMIA BHARAT SUGA,Process Industries,NSE
ROSSELLIND,ROSSELL INDIA LTD,Electronic Technology,NSE
OMFURN,OMFURN INDIA LTD,Producer Manufacturing,NSE
SKMEGGPROD,SKM EGG PRODUCTS,Process Industries,NSE
TCNSBRANDS,TCNS CLOTHING CO L,Consumer Non-Durables,NSE
SUKHJITS,SUKHJIT STARCH & CHEM LTD,Consumer Non-Durables,NSE
GET_D,GE T&D INDIA LTD,Producer Manufacturing,NSE
GENUSPOWER,GENUS POWER INFRA,Electronic Technology,NSE
PREMIER,PREMIER LTD,Producer Manufacturing,NSE
JUBLFOOD,JUBILANT FOODWORKS,Consumer Services,NSE
APTECHT,APTECH LTD,Commercial Services,NSE
OLIL,ONECLICK LOGISTICS,,NSE
EFACTOR,E FACTOR EXPERIENC,Commercial Services,NSE
SYNCOMF,SYNCOM FORMU (I) LTD,Health Technology,NSE
PSUBNKIETF,ICICIPRAMC - PSUBANKICI,Miscellaneous,NSE
NAHARCAP,NAHAR CAPITAL AND,Finance,NSE
HDFCSML250,HDFC MUTUAL FUND,Miscellaneous,NSE
INFIBEAM,INFIBEAM AVENUES L,Commercial Services,NSE
SALSTEEL,SAL STEEL LTD,Non-Energy Minerals,NSE
NKIND,NK INDUSTRIES,Process Industries,NSE
EBBETF0431,EDELAMC - EBBETF0431,Miscellaneous,NSE
PHOENIXLTD,PHOENIX MILLS,Finance,NSE
VISHWARAJ,VISHWARAJ SUGAR IND LTD,Process Industries,NSE
MEGASTAR,MEGASTAR FOODS LTD,Process Industries,NSE
ANGELONE,ANGEL ONE LTD,Finance,NSE
SAFARI,SAFARI IND (INDIA) LTD,Consumer Durables,NSE
MONTECARLO,MONTE CARLO FASHIO,Consumer Non-Durables,NSE
MONARCH,MONARCH NETWORTH CAP LTD,Finance,NSE
UNITEDTEA,UNITED NILGIRI TEA,Consumer Non-Durables,NSE
SUVIDHAA,SUVIDHAA INFOSERVE LTD,Commercial Services,NSE
VASA,VASA RETAIL AND OV,Process Industries,NSE
TAINWALCHM,TAINWALA CHEMICALS,Process Industries,NSE
RTNPOWER,RATTANINDIA POWER,Utilities,NSE
GSEC10IETF,ICICIPRAMC - ICICI10GS,Miscellaneous,NSE
AUTOIETF,ICICIPRAMC - ICICIAUTO,Miscellaneous,NSE
UFO,UFO MOVIEZ INDIA,Consumer Services,NSE
ZYDUSWELL,ZYDUS WELLNESS LTD,Consumer Non-Durables,NSE
TATACONSUM,TATA CONSUMER PRODUCT LTD,Consumer Non-Durables,NSE
MUTHOOTFIN,MUTHOOT FINANCE LTD,Finance,NSE
TATASTEEL,TATA STEEL LTD,Non-Energy Minerals,NSE
TOUCHWOOD,TOUCHWOOD ENTERTAI,Commercial Services,NSE
ONGC,OIL & NATURAL GAS,Energy Minerals,NSE
INFY,INFOSYS LTD,Technology Services,NSE
FINCABLES,FINOLEX CABLES,Producer Manufacturing,NSE
VERTEXPLUS,VERTEXPLUS TECHNOL,Commercial Services,NSE
ROLEXRINGS,ROLEX RINGS LTD,Producer Manufacturing,NSE
IGPL,IG PETROCHEMICAL,Process Industries,NSE
PFS,PTC INDIA FINANCIA,Finance,NSE
HDFCNIFBAN,HDFCAMC - HDFCNIFBAN,Miscellaneous,NSE
DRCSYSTEMS,DRC SYSTEMS INDIA LTD,Technology Services,NSE
LAURUSLABS,LAURUS LABS LTD,Health Technology,NSE
ZEAL,ZEAL GLOBAL SERVIC,Transportation,NSE
CONSOFINVT,CONSOLIDATED FINVE,Finance,NSE
EMSLIMITED,EMS LTD,Industrial Services,NSE
INTENTECH,INTENSE TECHNOLOGI,Technology Services,NSE
MUKTAARTS,MUKTA ARTS,Technology Services,NSE
3MINDIA,3M INDIA LTD,Producer Manufacturing,NSE
NITINSPIN,NITIN SPINNERS LTD,Process Industries,NSE
JWL,JUPITER WAGONS LTD,Producer Manufacturing,NSE
RECLTD,REC LTD,Finance,NSE
TATAELXSI,TATA ELXSI,Technology Services,NSE
HAL,HINDUSTAN AERONAUT,Electronic Technology,NSE
ZENITHSTL,ZENITH STEEL PIP IND LTD,Non-Energy Minerals,NSE
IIFLSEC,IIFL SECURITIES,Finance,NSE
HATSUN,HATSUN AGRO PRODUC,Consumer Non-Durables,NSE
GRCL,GAYATRI RUBBERS &,Producer Manufacturing,NSE
JALAN.ST,JALAN TRANSOLUTION,Transportation,NSE
PGIL,PEARL GLOBAL INDUS,Consumer Non-Durables,NSE
RELCAPITAL,RELIANCE CAPITAL,Finance,NSE
JMFINANCIL,JM FINANCIAL,Finance,NSE
BAJAJELEC,BAJAJ ELECTRICALS,Consumer Durables,NSE
BIOCON,BIOCON LTD,Health Technology,NSE
BGLOBAL,BHARATIYA GLOBAL INFO LTD,Commercial Services,NSE
ANANDRATHI,ANAND RATHI WEALTH LTD,Finance,NSE
UTIBANKETF,UTIAMC - UTIBANKETF,Miscellaneous,NSE
SEPC,SEPC LTD,Industrial Services,NSE
NAGREEKEXP,NAGREEKA EXPORTS,Process Industries,NSE
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L,Retail Trade,NSE
CAMLINFINE,CAMLIN FINE SCIENC,Process Industries,NSE
IGL,INDRAPRASTHA GAS,Utilities,NSE
AURDIS,AURANGABAD DISTILL,Consumer Non-Durables,NSE
SESHAPAPER,SESHASAYEE PAPER&B,Process Industries,NSE
ACCELYA,ACCELYA SOLUTIONS,Technology Services,NSE
ZEEMEDIA,ZEE MEDIA CORP,Consumer Services,NSE
ICRA,ICRA LTD,Commercial Services,NSE
PNBGILTS,PNB GILTS,Finance,NSE
FELDVR,FUTURE ENTERPRISES,Process Industries,NSE
SOLEX,SOLEX ENERGY LTD,Producer Manufacturing,NSE
MBECL,MCNALLY BHARAT ENG,Industrial Services,NSE
KOTAKMNC,KOTAKMAMC - KOTAKMNC,,NSE
ARTEMISMED,ARTEMIS MEDICARE,Health Services,NSE
ARTNIRMAN,ART NIRMAN LTD,Consumer Durables,NSE
AXISCETF,AXISAMC - AXISCETF,Miscellaneous,NSE
DCM,D.C.M,Technology Services,NSE
LIQUIDETF,DSP BLACKROCK MUTU,Miscellaneous,NSE
JBMA,JBM AUTO LTD,Producer Manufacturing,NSE
HDFCNIF100,HDFCAMC - HDFCNIF100,Miscellaneous,NSE
RSWM,RSWM LTD,Process Industries,NSE
VILINBIO,VILIN BIO MED LTD,Health Technology,NSE
SAROJA,SAROJA PHARMA INDU,Distribution Services,NSE
JETAIRWAYS,JET AIRWAYS INDIA,Transportation,NSE
WEL,WONDER ELECTRICALS LTD,Electronic Technology,NSE
NITIRAJ,NITIRAJ ENGINEERS LTD,Electronic Technology,NSE
VLEGOV,VL E GOV AND IT SOL LTD,Technology Services,NSE
PFOCUS,PRIME FOCUS,Consumer Services,NSE
ARSHIYA,ARSHIYA LTD,Commercial Services,NSE
RENUKA,SHREE RENUKA SUGAR,Process Industries,NSE
GMRINFRA,GMR AIRPORTS INFRA,Transportation,NSE
DCMFINSERV,DCM FINANCIAL SERV,Finance,NSE
ABB,ABB INDIA LTD,Producer Manufacturing,NSE
INDHOTEL,INDIAN HOTELS,Consumer Services,NSE
SOUTHWEST,SOUTH WEST PINNACL,Energy Minerals,NSE
MARINETRAN,MARINETRANS INDIA,Transportation,NSE
MEDICO,MEDICO REMEDIES LTD,Health Technology,NSE
DEN,DEN NETWORKS LTD,Consumer Services,NSE
GEOJITFSL,GEOJIT FINANCIAL S,Finance,NSE
TCPLPACK,TCPL PACKAGING LTD,Commercial Services,NSE
SILVERTUC,SILVER TOUCH TECHNO LTD,Technology Services,NSE
BAJAJHIND,BAJAJ HINDUSTHAN S,Process Industries,NSE
STYRENIX,STYRENIX PERFORMANCE LTD,Process Industries,NSE
PANACEABIO,PANACEA BIOTEC LTD,Health Technology,NSE
GOLDSHARE,UTI ASSET MANAGEME,Miscellaneous,NSE
BFUTILITIE,BF UTILITIES LTD,Industrial Services,NSE
VEEKAYEM,VEEKAYEM FASHION A,Process Industries,NSE
KKVAPOW,KKV AGRO POWERS LTD,Utilities,NSE
KARMAENG,KARMA ENERGY LTD,Utilities,NSE
TORNTPOWER,TORRENT POWER,Utilities,NSE
JPASSOCIAT,JAIPRAKASH ASSOCIA,Producer Manufacturing,NSE
APTUS,APTUS VALUE HSG FIN I LTD,Finance,NSE
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,Producer Manufacturing,NSE
NECLIFE,NECTAR LIFESCIENCE,Health Technology,NSE
MCON,MCON RASAYAN INDIA,Non-Energy Minerals,NSE
SCPL,SHEETAL COOL PRODUCTS LTD,Consumer Non-Durables,NSE
MASKINVEST,MASK INVESTMENTS L,Finance,NSE
TEJASNET,TEJAS NETWORKS LTD,Electronic Technology,NSE
THERMAX,THERMAX,Producer Manufacturing,NSE
PENINLAND,PENINSULA LAND LTD,Finance,NSE
GLFL,GUJARAT LEASE,Finance,NSE
OMAXE,OMAXE LTD,Finance,NSE
KCPSUGIND,KCP SUGAR & INDUST,Process Industries,NSE
MEDPLUS,MEDPLUS HEALTH SERV LTD,Retail Trade,NSE
LIQUIDBEES,NIPPON INDIA MF,Miscellaneous,NSE
DYCL,DYNAMIC CABLES LTD,Producer Manufacturing,NSE
NV20IETF,ICICI PRUDENTIAL NV20 ETF,Miscellaneous,NSE
JPOLYINVST,JINDAL POLY INV &,Finance,NSE
MONOPHARMA,MONO PHARMACARE LI,Distribution Services,NSE
KOTHARIPET,KOTHARI PETROCHEM,Process Industries,NSE
AIROLAM,AIRO LAM LTD,Non-Energy Minerals,NSE
MAFANG,MIRAEAMC - MAFANG,Miscellaneous,NSE
BPCL,BHARAT PETROL CORP,Energy Minerals,NSE
SEL,SUNGARNER ENERGIES,Electronic Technology,NSE
HDFCLIFE,HDFC LIFE INSURANC,Finance,NSE
KAKATCEM,KAKATIYA CEM SUGAR,Non-Energy Minerals,NSE
MINDSPACE.RR,MINDSPACE BUSINESS P REIT,Finance,NSE
CLEDUCATE,CL EDUCATE LTD,Commercial Services,NSE
GOLDBEES,NIPPON INDIA MF,Miscellaneous,NSE
MIRCELECTR,MIRC ELECTRONICS,Electronic Technology,NSE
PNC,PRITISH NANDY COMM,Consumer Services,NSE
FMCGIETF,ICICIPRAMC - ICICIFMCG,Miscellaneous,NSE
MADHUCON,MADHUCON PROJECTS,Industrial Services,NSE
TVTODAY,TV TODAY NETWORK,Consumer Services,NSE
KOTARISUG,KOTHARI SUGAR&CHEM,Process Industries,NSE
NAVINIFTY,NAVIAMC - NAVINIFTY,,NSE
IIFL,IIFL FINANCE LTD,Finance,NSE
PTL,PTL ENTERPRISES LTD,Finance,NSE
RUSHIL,RUSHIL DECOR LTD,Non-Energy Minerals,NSE
SPARC,SUN PHARMA ADV,Health Technology,NSE
RELIABLE,RELIABLE DATA SERV,Technology Services,NSE
HINDCON,HINDCON CHEMICALS LTD,Non-Energy Minerals,NSE
INVENTURE,INVENTURE GROWTH &,Finance,NSE
VINSYS,VINSYS IT SERVICES,Commercial Services,NSE
HIKAL,HIKAL LTD,Health Technology,NSE
ASTRAL,ASTRAL LTD,Producer Manufacturing,NSE
LYKALABS,LYKA LABORATORIES,Health Technology,NSE
AMEYA,AMEYA PRECISION EN,Producer Manufacturing,NSE
UNIONBANK,UNION BK OF INDIA,Finance,NSE
BANKA,BANKA BIOLOO LTD,Industrial Services,NSE
HUHTAMAKI,HUHTAMAKI INDIA LTD,Process Industries,NSE
TCIEXP,TCI EXPRESS LTD,Transportation,NSE
GSEC10YEAR,MIRAEAMC - MAGS813ETF,,NSE
CYIENT,CYIENT LTD,Commercial Services,NSE
SHALPAINTS,SHALIMAR PAINTS,Process Industries,NSE
SARTELE,SAR TELEVENTURE LI,Finance,NSE
NETWEB,NETWEB TECH INDIA LTD,Electronic Technology,NSE
SAH,SAH POLYMERS LTD,Process Industries,NSE
MAGNUM,MAGNUM VENTURES LTD,Process Industries,NSE
XPROINDIA,XPRO INDIA LTD.,Process Industries,NSE
PRAENG,PRAJAY ENGINEERS S,Consumer Durables,NSE
SBIETFPB,SBIAMC - SBIETFPB,,NSE
EMUDHRA,EMUDHRA LTD,Technology Services,NSE
GARFIBRES,GARWARE TECHNICAL,Producer Manufacturing,NSE
EQUIPPP,EQUIPPP SOC IMP TECH LTD,Technology Services,NSE
NORBTEAEXP,NORBEN TEA & EXPOR,Consumer Non-Durables,NSE
EIHOTEL,EIH LTD,Consumer Services,NSE
KSHITIJPOL,KSHITIJ POLYLINE LTD,Process Industries,NSE
INDOSTAR,INDOSTAR CAP FIN,Finance,NSE
NARMADA,NARMADA AGROBASE LTD,Process Industries,NSE
COASTCORP,COASTAL CORPORATION LTD,Transportation,NSE
SHOPERSTOP,SHOPPERS STOP,Retail Trade,NSE
YATRA,YATRA ONLINE LTD,Consumer Services,NSE
HFCL,HFCL LTD,Electronic Technology,NSE
RELIANCE,RELIANCE INDS,Energy Minerals,NSE
MAHSEAMLES,MAHARASHTRA SEAML,Non-Energy Minerals,NSE
PVRINOX,PVR INOX LTD,Consumer Services,NSE
KARURVYSYA,KARUR VYSYA BANK,Finance,NSE
DUCON,DUCON INFRATECHNOL,Distribution Services,NSE
SETFNN50,SBI MUTUAL FUND,Miscellaneous,NSE
VASWANI,VASWANI INDUSTRIES,Non-Energy Minerals,NSE
UNIHEALTH,UNIHEALTH CONSULTA,Health Services,NSE
NIDAN,NIDAN LABORATORIES,Health Services,NSE
OIL,OIL INDIA LTD,Energy Minerals,NSE
DAMODARIND,DAMODAR INDUSTRIES,Process Industries,NSE
HBSL,HB STOCKHOLDINGS,Finance,NSE
KEI,KEI INDUSTRIES,Producer Manufacturing,NSE
INFOLLION,INFOLLION RESEARCH,Commercial Services,NSE
RAJESHEXPO,RAJESH EXPORTS,Consumer Durables,NSE
BROOKS,BROOKS LAB LTD,Health Technology,NSE
SHREERAMA,SHREE RAMA MULTI,Process Industries,NSE
PARIN,PARIN FURNITURE LTD,Consumer Durables,NSE
SAHAJ,SAHAJ FASHIONS LIM,,NSE
ALPL30IETF,ICICIPRAMC - ICICIALPLV,Miscellaneous,NSE
OLECTRA,OLECTRA GREENTECH,Consumer Durables,NSE
BEDMUTHA,BEDMUTHA INDUSTRIE,Non-Energy Minerals,NSE
LOWVOLIETF,ICICI PR NIF LW VL 30 ETF,Miscellaneous,NSE
TIPSINDLTD,TIPS INDUSTRIES,Consumer Services,NSE
GUJGASLTD,GUJARAT GAS LTD,Utilities,NSE
PATELENG,PATEL ENGINEERING,Industrial Services,NSE
PRECWIRE,PRECISION WIRES IN,Producer Manufacturing,NSE
GSPL,GUJARAT STATE PETR,Utilities,NSE
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,Technology Services,NSE
ROHLTD,ROYAL ORCHID HOTEL,Consumer Services,NSE
KABRAEXTRU,KABRA EXTRUSIONTEC,Producer Manufacturing,NSE
ICICIPRULI,ICICI PRUDENTIAL L,Finance,NSE
ENERGYDEV,ENERGY DEV CO LTD,Utilities,NSE
COALINDIA,COAL INDIA LTD,Energy Minerals,NSE
DYNAMIC,DYNAMIC SERVICES &,Commercial Services,NSE
DSPNEWETF,DSPAMC - DSPNEWETF,Miscellaneous,NSE
ZOTA,ZOTA HEALTH CARE LTD,Health Technology,NSE
ITDC,INDIA TOURISM DEV,Consumer Services,NSE
INNOVANA,INNOVANA THINKLABS,Technology Services,NSE
LICMFGOLD,LIC MF - LIC GOLD ETF,Miscellaneous,NSE
AXISCADES,AXISCADES TECHNOLO,Commercial Services,NSE
CMICABLES,CMI,Producer Manufacturing,NSE
ULTRACEMCO,ULTRATECH CEMENT,Non-Energy Minerals,NSE
MKPL,M K PROTEINS LTD,Process Industries,NSE
SBIETFCON,SBIAMC - SBIETFCON,,NSE
AVADHSUGAR,AVADH SUGAR ENERGY,Process Industries,NSE
BHARTIARTL,BHARTI AIRTEL LTD,Communications,NSE
DBSTOCKBRO,DB INTL STOCK BROK,Finance,NSE
QNIFTY,QUANTUM MUTUAL FD,Miscellaneous,NSE
MANORG,MANGALAM ORGANICS LTD,Process Industries,NSE
APLAPOLLO,APL APOLLO TUBES,Non-Energy Minerals,NSE
GSEC5IETF,ICICIPRAMC - ICICI5GSEC,Miscellaneous,NSE
INFRABEES,NIPPON INDIA MF,Miscellaneous,NSE
GSS,GSS INFOTECH LTD,Technology Services,NSE
SHEETAL,SHEETAL UNIVERSAL,Consumer Non-Durables,NSE
IDEAFORGE,IDEAFORGE TECHNO LTD,Electronic Technology,NSE
JAYAGROGN,JAYANT AGRO-ORG,Process Industries,NSE
JBCHEPHARM,J.B.CHEMICALS & PH,Health Technology,NSE
ASCOM.ST,ASCOM L & I LTD,Finance,NSE
INDIANCARD,INDIAN CARD CLOTH,Producer Manufacturing,NSE
ESTER,ESTER INDUSTRIES,Process Industries,NSE
CINEVISTA,CINEVISTA LTD,Consumer Services,NSE
RBZJEWEL,RBZ JEWELLERS LTD,Consumer Durables,NSE
GUJALKALI,GUJARAT ALKALIES,Process Industries,NSE
HECPROJECT,HEC INFRA PROJECTS LTD,Industrial Services,NSE
TIMETECHNO,TIME TECHNOPLAST,Process Industries,NSE
KIRLOSIND,KIRLOSKAR IND LTD,Non-Energy Minerals,NSE
AARON,AARON INDUSTRIES LTD,Producer Manufacturing,NSE
JSWSTEEL,JSW STEEL LTD,Non-Energy Minerals,NSE
JKLAKSHMI,JK LAKSHMI CEMENT,Non-Energy Minerals,NSE
TOTAL,TOTAL TRANSPORT SYS LTD,Transportation,NSE
VINNY,VINNY OVERSEAS LTD,Process Industries,NSE
JAYSREETEA,JAYSHREE TEA,Process Industries,NSE
LEMONTREE,LEMON TREE HOTELS,Consumer Services,NSE
RAJTV,RAJ TEL NETWORK,Consumer Services,NSE
KPRMILL,KPR MILL LTD,Consumer Non-Durables,NSE
FLUOROCHEM,GUJARAT FLUOROCHEM LTD,Process Industries,NSE
RUPA,RUPA & CO LTD,Consumer Non-Durables,NSE
FELIX,FELIX INDUSTRIES L,Industrial Services,NSE
GENSOL,GENSOL ENGINEERING LTD,Industrial Services,NSE
INTELLECT,INTELLECT DESIGN A,Technology Services,NSE
BANARISUG,BANNARI AMMAN SUG,Process Industries,NSE
LPDC,LANDMARK PROP DEV,Finance,NSE
KRSNAA,KRSNAA DIAGNOSTICS LTD,Health Services,NSE
HEALTHIETF,ICICIPRAMC - ICICIPHARM,Miscellaneous,NSE
PTCIL,PTC INDUSTRIES LTD,Producer Manufacturing,NSE
NUVOCO,NUVOCO VISTAS CORP LTD,Non-Energy Minerals,NSE
SBFC,SBFC FINANCE LTD,Finance,NSE
ANUP,THE ANUP ENGINEERI,Producer Manufacturing,NSE
NAHARPOLY,NAHAR POLY FILMS,Process Industries,NSE
PANSARI,PANSARI DEVELOPERS LTD,Technology Services,NSE
EMKAYTOOLS,EMKAY TAPS AND CUT,Producer Manufacturing,NSE
SGIL,SYNERGY GREEN IND. LTD,Non-Energy Minerals,NSE
FAIRCHEMOR,FAIRCHEM ORGANICS LTD,Process Industries,NSE
ALLSEC,ALLSEC TECHNOLOGIE,Commercial Services,NSE
CANFINHOME,CANFIN HOMES,Finance,NSE
PCJEWELLER,PC JEWELLER LTD,Consumer Durables,NSE
SIMPLEXINF,SIMPLEX INFRASTRUC,Industrial Services,NSE
ASTERDM,ASTER DM HEALTHCAR,Health Services,NSE
KRITIKA,KRITIKA WIRES LTD,Producer Manufacturing,NSE
UTINEXT50,UTI ASSET MANAGEME,Miscellaneous,NSE
CELEBRITY,CELEBRITY FASHIONS,Consumer Non-Durables,NSE
ACCORD.ST,ACCORD SYNERGY LTD,Industrial Services,NSE
SUPRIYA,SUPRIYA LIFESCIENCE LTD,Health Technology,NSE
DEVYANI,DEVYANI INTERNATIONAL LTD,Consumer Services,NSE
FOCUS,FOCUS LIGHTG,Producer Manufacturing,NSE
PUNJABCHEM,PUNJAB CHEM&CROP,Process Industries,NSE
PRAXIS,PRAXIS HOME RETAIL,Retail Trade,NSE
HDFCSENSEX,HDFCAMC - HDFCSENSEX,Miscellaneous,NSE
MAHABANK,BK OF MAHARASHTRA,Finance,NSE
MANYAVAR,VEDANT FASHIONS LTD,Retail Trade,NSE
BAFNAPH,BAFNA PHARMACEUTICALS LTD,Health Technology,NSE
ITIETF,ICICIPRAMC - ICICITECH,Miscellaneous,NSE
VERTOZ,VERTOZ ADVERTISING LTD,Commercial Services,NSE
UJJIVAN,UJJIVAN FIN SERV,Finance,NSE
STARPAPER,STAR PAPER MILLS,Process Industries,NSE
GUJRAFFIA,GUJARAT RAFFIA IND,Producer Manufacturing,NSE
FDC,FDC LTD,Health Technology,NSE
BAJAJ_AUTO,BAJAJ AUTO LTD,Consumer Durables,NSE
INTLCONV,INTL CONVEYORS LTD,Producer Manufacturing,NSE
TFCILTD,TOURISM FIN CORP,Finance,NSE
PONNIERODE,PONNI SUGARS ERODE,Process Industries,NSE
RATNAVEER,RATNAVEER PRECISION ENG L,Non-Energy Minerals,NSE
WABAG,VA TECH WABAG LTD,Industrial Services,NSE
UMAEXPORTS,UMA EXPORTS LTD,Distribution Services,NSE
STAR,STRIDES PHARMA SCI,Health Technology,NSE
MRPL,MANGALORE REF &PET,Energy Minerals,NSE
DSPSENXETF,DSPAMC - DSPSENXETF,,NSE
BECTORFOOD,MRS BECTORS FOOD SPE LTD,Consumer Non-Durables,NSE
SILVERBEES,NIPPONAMC - NETFSILVER,,NSE
TATACOFFEE,TATA COFFEE,Process Industries,NSE
SHREYAS,SHREYAS SHIP & LO,Transportation,NSE
UWCSL,ULTRA WIRING CONNE,Producer Manufacturing,NSE
JCHAC,JOHNSON CONTROLS-H,Consumer Durables,NSE
COUNCODOS,COUNTRY CONDO'S,Finance,NSE
ARVIND,ARVIND LTD,Process Industries,NSE
AXITA,AXITA COTTON LTD,Process Industries,NSE
BLAL,BEML LAND ASSETS LTD,Finance,NSE
GLENMARK,GLENMARK PHARM,Health Technology,NSE
GRAPHISAD,GRAPHISADS LTD,,NSE
KRIDHANINF,KRIDHAN INFRA LIMI,Non-Energy Minerals,NSE
SUNDARAM,SUNDARAM MULTI,Producer Manufacturing,NSE
KICL,KALYANI INVESTMENT,Finance,NSE
RADICO,RADICO KHAITAN,Consumer Non-Durables,NSE
UMESLTD,USHA MARTIN EDU,Producer Manufacturing,NSE
RPSGVENT,RPSG VENTURES LTD,Finance,NSE
ANLON,ANLON TECH SOL LTD,Distribution Services,NSE
RAMCOIND,RAMCO INDUSTRIES,Non-Energy Minerals,NSE
EXCEL,EXCEL REALTY N INF,Commercial Services,NSE
MTNL,MAHANAGAR TELEP NI,Communications,NSE
RPGLIFE,RPG LIFE SCIENCES,Health Technology,NSE
TMB,TAMILNAD MERCA BANK LTD,Finance,NSE
KPIGREEN,KPI GREEN ENERGY LTD,Utilities,NSE
VIDHIING,VIDHI SPECIALTY FO,Consumer Non-Durables,NSE
STLTECH,STERLITE TECHNOLOGIES LTD,Technology Services,NSE
HARRMALAYA,HARRISONS MALAYALA,Process Industries,NSE
MADHUSUDAN,MADHUSUDAN MASALA,Consumer Non-Durables,NSE
MAWANASUG,MAWANA SUGARS LTD,Consumer Non-Durables,NSE
NRL,NUPUR RECYCLERS LTD,Non-Energy Minerals,NSE
NIFTYQLITY,BIRLASLAMC - NIFTYQLITY,Miscellaneous,NSE
MANINFRA,MAN INFRACONSTRUCT,Finance,NSE
PAGEIND,PAGE INDUSTRIES LTD,Consumer Non-Durables,NSE
TECHLABS.ST,TRIDENT TECHLABS LTD,Distribution Services,NSE
SYNGENE,SYNGENE INTERNATIO,Commercial Services,NSE
YUKEN,YUKEN INDIA LTD,Producer Manufacturing,NSE
ABCOTS,AB COTSPIN INDIA L,Consumer Non-Durables,NSE
SUDARSCHEM,SUDARSHAN CHEMICAL,Process Industries,NSE
KOTAKLOVOL,KOTAKMAMC - KOTAKLOVOL,,NSE
CARERATING,CARE RATINGS LTD,Commercial Services,NSE
TOKYOPLAST,TOKYO PLAST INTL,Producer Manufacturing,NSE
BFINVEST,BF INVESTMENT LTD,Finance,NSE
JSWENERGY,JSW ENERGY LTD,Utilities,NSE
SRPL,SHREE RAM PROTEINS LTD.,Process Industries,NSE
ORISSAMINE,ORISSA MINERALS DE,Non-Energy Minerals,NSE
ASHOKLEY,ASHOK LEYLAND,Producer Manufacturing,NSE
VASCONEQ,VASCON ENGINEERS L,Industrial Services,NSE
PAVNAIND,PAVNA INDUSTRIES LTD,Producer Manufacturing,NSE
FSL,FIRSTSOURCE SOLUTI,Commercial Services,NSE
SWARAJ,SWARAJ SUITING LTD,Process Industries,NSE
MASTEK,MASTEK,Technology Services,NSE
BALAMINES,BALAJI AMINES LTD,Process Industries,NSE
CRAFTSMAN,CRAFTSMAN AUTOMATION LTD,Producer Manufacturing,NSE
PATTECH,PATTECH FITWELL TU,Producer Manufacturing,NSE
CASTROLIND,CASTROL INDIA,Energy Minerals,NSE
KITEX,KITEX GARMENTS LTD,Process Industries,NSE
SILVERIETF,ICICIPRAMC - ICICISILVE,Miscellaneous,NSE
SEAMECLTD,SEAMEC LTD,Industrial Services,NSE
360ONE,360 ONE WAM LTD,Finance,NSE
UCOBANK,UCO BANK,Finance,NSE
BEWLTD,BEW ENGINEERING LTD,Producer Manufacturing,NSE
MAGADSUGAR,MAGADH SUGAR & ENE,Process Industries,NSE
ASMS,BARTRONICS INDIA LTD,Electronic Technology,NSE
SILLYMONKS,SILLY MONKS ENTERTAIN LTD,Consumer Services,NSE
DRREDDY,DR REDDYS LABS,Health Technology,NSE
KHADIM,KHADIM INDIA LTD,Consumer Non-Durables,NSE
NELCAST,NELCAST LTD,Non-Energy Minerals,NSE
ARVSMART,ARVIND SMARTSPACES,Finance,NSE
BIRLAMONEY,ADITYA BIRLA MONEY,Finance,NSE
NIF100IETF,ICICI PRUD NIFTY 100 ETF,Miscellaneous,NSE
DIVGIITTS,DIVGI TORQTRANSFER SYST L,Producer Manufacturing,NSE
GATECHDVR,GACM TECHNOLOGIES LTD,Finance,NSE
SIGMA,SIGMA SOLVE LTD,Technology Services,NSE
SELMC,SEL MANUFACTURING CO LTD,Process Industries,NSE
UNICHEMLAB,UNICHEM LABS,Health Technology,NSE
SWASTIK,SWASTIK PIPE LTD,Producer Manufacturing,NSE
REMUS,REMUS PHARMACEUTIC,Health Technology,NSE
SJVN,SJVN LTD,Utilities,NSE
HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,Technology Services,NSE
SIKKO,SIKKO INDUSTRIES LTD,Process Industries,NSE
GTECJAINX,G-TEC JAINX EDUCATION LTD,Commercial Services,NSE
WOMANCART.ST,WOMANCART LTD,Retail Trade,NSE
ALPHAETF,MIRAEAMC - ALPHAETF,,NSE
DEEPAKFERT,DEEPAK FERTILISERS,Process Industries,NSE
